Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2016-03-24,7.297,3.901,2.408,0.117
2016-03-25,1.178,3.517,0.112,0.746
2016-03-26,13.771,4.373,7.099,1.508
2016-03-27,4.374,12.41,0.152,6.41
2016-03-28,3.603,9.947,0.112,6.687
2016-03-29,4.781,4.452,0.493,1.716
2016-03-30,6.404,5.978,0.687,1.759
2016-03-31,8.335,4.719,2.249,0.655
2016-01-04,15.973,7.078,7.887,0.313
2016-02-04,15.555,6.048,7.352,0.233
2016-03-04,9.127,5.075,3.641,0.169
2016-04-04,9.71,7.025,1.98,0.978
2016-05-04,1.987,7.247,0.128,3.486
2016-06-04,7.274,4.936,1.384,1.667
2016-07-04,7.111,5.681,1.337,0.565
2016-08-04,5.936,4.467,0.988,0.423
2016-09-04,10.757,10.81,2.024,2.081
2016-10-04,12.607,7.898,3.945,2.047
2016-11-04,12.045,6.305,4.482,0.19
2016-12-04,8.933,9.353,0.9,2.876
2016-04-13,4.403,4.981,0.157,0.199
2016-04-14,12.271,5.43,4.614,0.691
2016-04-15,2.649,3.936,0.136,0.393
2016-04-16,8.534,9.066,1.202,3.362
2016-04-17,11.122,9.367,2.825,2.196
2016-04-18,3.936,5.83,0.098,1.419
2016-04-19,8.814,10.533,1.292,4.543
2016-04-20,12.386,4.94,5.362,0.835
2016-04-21,16.182,6.355,8.651,0.238
2016-04-22,10.56,3.83,4.916,0.103
2016-04-23,12.692,10.733,2.772,1.019
2016-04-24,9.872,8.323,2.036,1.561
2016-04-25,2.967,9.213,0.059,5.572
2016-04-26,6.521,8.471,0.549,3.156
2016-04-27,6.707,9.437,0.676,4.172
2016-04-28,11.681,11.02,3.711,5.141
2016-04-29,5.568,6.742,0.204,1.412
2016-04-30,4.898,8.238,0.143,3.796
2016-01-05,15.748,9.158,5.584,2.406
2016-02-05,16.482,5.228,9.614,0.133
2016-03-05,8.813,5.404,2.943,0.362
2016-04-05,17.145,4.964,10.985,0.126
2016-05-05,17.681,7.371,9.611,0.653
2016-06-05,17.446,8.361,7.329,0.198
2016-07-05,17.97,10.31,7.185,0.882
2016-08-05,17.54,5.738,10.28,0.559
2016-09-05,17.209,6.729,10.534,0.742
2016-10-05,16.955,5.294,8.967,0.154
2016-11-05,14.338,4.873,8.198,0.2
2016-12-05,16.197,3.739,11.063,0.123
2016-05-13,16.658,5.214,9.783,0.147
2016-05-14,9.955,9.092,3.42,1.451
2016-05-15,11.251,7.358,3.384,1.764
2016-05-16,11.777,7.137,5.103,1.119
2016-05-17,8.589,6.711,0.444,0.837
2016-05-18,8.707,7.261,1.156,0.708
2016-05-19,13.218,4.128,7.608,0.16
2016-05-20,3.809,4.524,0.18,0.409
2016-05-21,13.448,8.697,3.397,1.069
2016-05-22,12.585,8.285,4.038,1.016
2016-05-23,11.357,5.111,4.593,0.127
2016-05-24,2.677,4.433,0.103,0.33
2016-05-25,3.65,5.781,0.123,2.635
2016-05-26,2.039,4.501,0.097,2.757
2016-05-27,10.196,4.987,2.955,1.717
2016-05-28,14.198,3.027,9.921,0.06
2016-05-29,3.297,9.842,0.182,4.458
2016-05-30,13.332,6.293,4.906,1.076
2016-05-31,12.881,4.212,6.88,0.192
2016-01-06,16.831,4.979,10.545,0.151
2016-02-06,10.282,4.736,4.574,0.242
2016-03-06,14.523,5.07,8.753,0.138
2016-04-06,16.795,7.488,8.844,0.868
2016-05-06,17.524,8.484,7.428,0.515
2016-06-06,15.374,5.501,8.798,0.463
2016-07-06,15.584,6.895,7.188,0.604
2016-08-06,10.432,5.439,4.535,0.585
2016-09-06,14.127,4.006,9.07,0.087
2016-10-06,15.992,5.893,9.036,0.174
2016-11-06,12.71,7.79,5.271,1.246
2016-12-06,6.491,5.268,0.19,0.407
2016-06-13,6.837,6.327,0.408,0.522
2016-06-14,7.274,4.539,1.557,0.223
2016-06-15,9.784,8.885,0.799,0.699
2016-06-16,11.082,6.79,3.593,0.458
2016-06-17,9.166,5.45,1.892,0.285
2016-06-18,12.338,4.967,7.136,0.491
2016-06-19,8.637,8.591,1.171,1.439
2016-06-20,9.667,4.849,3.374,0.138
2016-06-21,12.315,5.125,5.187,0.387
2016-06-22,13.127,6.94,6.93,0.719
2016-06-23,14.597,4.467,7.141,0.171
2016-06-24,8.259,7.343,4.051,1.168
2016-06-25,1.091,4.201,0.046,3.231
2016-06-26,12.858,4.981,5.399,1.588
2016-06-27,7.811,2.669,4.274,0.136
2016-06-28,11.619,2.689,7.529,0.125
2016-06-29,10.387,2.708,6.598,0.135
2016-06-30,7.939,2.59,4.457,0.102
2016-01-07,5.026,3.258,1.659,0.423
2016-02-07,9.149,2.895,5.192,0.097
2016-03-07,9.518,2.771,5.701,0.098
2016-04-07,12.279,2.809,7.825,0.121
2016-05-07,8.398,2.622,4.939,0.126
2016-06-07,11.515,6.209,5.794,0.384
2016-07-07,11.848,8.575,3.997,2.428
2016-08-07,4.886,7.745,0.171,2.065
2016-09-07,10.943,8.77,1.748,2.107
2016-10-07,12.624,7.25,4.936,0.685
2016-11-07,10.089,7.052,3.011,0.887
2016-12-07,9.942,6.796,2.86,0.69
2016-07-13,8.901,11.884,0.345,3.201
2016-07-14,7.204,9.028,0.277,2.716
2016-07-15,8.347,8.401,1.281,2.51
2016-07-16,3.857,8.488,0.087,4.423
2016-07-17,8.884,6.375,1.641,1.788
2016-07-18,13.303,6.751,6.204,0.299
2016-07-19,12.435,4.791,5.899,0.239
2016-07-20,16.813,5.52,9.843,0.258
2016-07-21,14.116,4.445,8.051,0.161
2016-07-22,7.616,6.709,1.745,0.636
2016-07-23,10.826,6.041,3.328,0.481
2016-07-24,8.352,7.591,1.355,0.661
2016-07-25,11.692,6.471,3.851,0.307
2016-07-26,11.759,5.727,5.101,0.329
2016-07-27,9.232,5.834,2.952,0.338
2016-07-28,12.475,5.534,5.489,0.188
2016-07-29,11.238,4.293,5.1,0.516
2016-07-30,10.361,2.762,6.3,0.082
2016-07-31,7.092,3.935,3.413,0.185
2016-01-08,7.306,6.716,1.3,1.047
2016-02-08,15.291,5.86,7.538,0.239
2016-03-08,2.526,6.066,0.136,2.544
2016-04-08,11.042,5.676,3.463,1.465
2016-05-08,10.185,4.739,3.746,0.24
2016-06-08,12.418,4.416,7.557,0.412
2016-07-08,9.936,6.424,4.644,1.313
2016-08-08,8.297,3.106,3.268,0.17
2016-09-08,10.604,4.773,4.514,0.322
2016-10-08,12.79,6.063,6.472,0.643
2016-11-08,2.656,5.778,0.12,1.905
2016-12-08,4.455,5.671,0.21,1.977
2016-08-13,4.484,5.31,0.223,1.551
2016-08-14,8.656,8.184,0.708,2.849
2016-08-15,9.615,7.225,1.658,0.854
2016-08-16,13.244,4.708,7.53,0.271
2016-08-17,14.382,5.938,7.26,0.268
2016-08-18,7.426,4.78,1.506,0.168
2016-08-19,12.591,6.731,5.064,0.326
2016-08-20,8.334,3.529,3.263,0.417
2016-08-21,9.932,8.36,1.856,0.917
2016-08-22,4.176,4.854,0.394,0.764
2016-08-23,8.327,7.749,2.396,4.046
2016-08-24,15.486,4.49,8.997,0.127
2016-08-25,15.716,3.92,10.442,0.151
2016-08-26,14.754,5.679,9.167,0.611
2016-08-27,14.221,6.835,6.991,0.549
2016-08-28,7.919,5.857,1.562,1.006
2016-08-29,9.36,4.901,3.03,0.387
2016-08-30,12.362,5.365,6.527,0.708
2016-08-31,15.244,6.929,7.168,0.229
2016-01-09,10.274,4.209,4.511,0.136
2016-02-09,7.077,6.024,1.096,0.351
2016-03-09,7.738,4.571,1.946,0.298
2016-04-09,3.905,7.012,0.225,2.488
2016-05-09,6.565,4.76,0.937,1.407
2016-06-09,13.989,4.786,8.093,0.904
2016-07-09,15.501,4.704,9.518,0.166
2016-08-09,14.479,5.51,7.911,0.19
2016-09-09,12.673,6.891,4.703,0.204
2016-10-09,13.448,7.272,5.172,0.443
2016-11-09,7.66,10.522,0.29,2.581
2016-12-09,13.979,5.88,6.355,1.375
2016-09-13,13.969,5.17,7.561,0.14
2016-09-14,13.217,5.875,6.361,0.304
2016-09-15,14.734,4.743,8.313,0.197
2016-09-16,3.788,6.793,0.129,1.772
2016-09-17,8.246,7.539,1.723,2.907
2016-09-18,8.128,5.569,1.888,1.349
2016-09-19,6.68,9.116,0.409,1.948
2016-09-20,5.176,7.858,0.242,4.791
2016-09-21,8.188,5.466,2.242,1.252
2016-09-22,8.472,3.976,3.348,0.159
2016-09-23,11.152,7.432,3.517,0.422
2016-09-24,10.594,4.855,3.726,0.838
2016-09-25,13.462,6.325,6.946,0.502
2016-09-26,4.419,4.768,0.62,0.554
2016-09-27,12.315,4.23,6.209,0.77
2016-09-28,7.438,6.148,1.043,0.472
2016-09-29,4.704,5.671,0.473,0.79
2016-09-30,8.758,7.609,1.107,3.008
2016-01-10,6.955,7.263,1.348,1.019
2016-02-10,6.895,8.447,1.382,3.701
2016-03-10,8.402,3.76,2.94,1.757
2016-04-10,11.046,2.813,7.329,0.141
2016-05-10,10.809,3.005,6.566,0.211
2016-06-10,0.953,2.872,0.129,0.38
2016-07-10,0.503,3.708,0.025,3.335
2016-08-10,5.481,10.207,0.356,5.717
2016-09-10,2.051,16.242,0.021,14.428
2016-10-10,4.068,8.269,0.256,4.838
2016-11-10,0.959,7.75,0.016,6.908
2016-12-10,4.375,7.245,0.183,3.509
2016-10-13,0.774,9.166,0.024,8.482
2016-10-14,4.34,5.887,0.564,3.045
2016-10-15,1.86,3.513,0.073,1.789
2016-10-16,7.796,4.727,1.41,1.525
2016-10-17,2.614,5.647,0.267,1.831
2016-10-18,6.018,11.288,0.301,6.133
2016-10-19,1.798,5.732,0.106,4.267
2016-10-20,0.484,6.634,0.009,6.221
2016-10-21,1.451,5.735,0.036,4.676
2016-10-22,2.986,7.857,0.059,5.134
2016-10-23,5.989,8.898,0.436,4.133
2016-10-24,1.484,5.466,0.066,4.204
2016-10-25,4.614,9.954,0.429,6.171
2016-10-26,4.364,7.534,0.097,3.844
2016-10-27,0.956,6.387,0.028,5.65
2016-10-28,0.403,8.584,0.002,8.172
2016-10-29,4.874,8.955,0.224,4.885
2016-10-30,1.834,15.282,0.027,13.66
2016-10-31,1.099,5.193,0.06,4.28
2016-01-11,0.572,6.834,0.011,6.427
2016-02-11,3.632,6.013,0.418,3.305
2016-03-11,5.375,5.928,0.144,2.212
2016-04-11,3.739,7.453,0.17,3.799
2016-05-11,0.469,13.858,0.012,13.506
2016-06-11,0.162,7.416,0.0,7.29
2016-07-11,2.269,7.445,0.177,5.694
2016-08-11,0.075,7.659,0.0,7.612
2016-09-11,0.145,7.158,0.0,7.057
2016-10-11,0.345,8.361,0.003,8.062
2016-11-11,8.477,7.11,2.449,2.38
2016-12-11,1.611,8.035,0.049,6.493
2016-11-13,4.569,9.148,0.141,5.284
2016-11-14,5.169,8.167,0.212,3.973
2016-11-15,0.195,8.074,0.0,7.893
2016-11-16,0.922,7.998,0.027,7.268
2016-11-17,2.952,5.868,0.107,3.474
2016-11-18,1.688,8.278,0.067,6.859
2016-11-19,4.01,13.632,0.115,10.138
2016-11-20,1.287,9.769,0.017,8.661
2016-11-21,0.522,7.126,0.022,6.687
2016-11-22,1.317,5.624,0.054,4.585
2016-11-23,3.189,6.621,0.032,3.951
2016-11-24,5.649,7.373,0.487,2.973
2016-11-25,0.624,9.611,0.015,9.037
2016-11-26,1.558,8.146,0.052,6.941
2016-11-27,7.863,11.505,0.728,5.293
2016-11-28,7.847,6.466,1.982,2.402
2016-11-29,8.227,16.425,0.274,8.558
2016-11-30,0.075,6.955,0.0,6.892
2016-01-12,0.256,8.067,0.01,7.86
2016-02-12,7.86,8.367,1.852,3.403
2016-03-12,6.96,13.872,0.166,7.902
2016-04-12,2.177,10.555,0.047,8.662
2016-05-12,7.728,6.796,2.041,2.47
2016-06-12,0.367,7.065,0.005,6.369
2016-07-12,0.493,8.767,0.009,8.399
2016-08-12,0.099,6.052,0.0,6.056
2016-09-12,0.265,10.93,0.009,10.799
2016-10-12,0.046,6.265,0.0,6.27
2016-11-12,0.38,7.718,0.004,7.505
2016-12-12,0.179,8.1,0.0,8.017
2016-12-13,0.282,9.123,0.004,8.942
2016-12-14,0.217,7.343,0.011,7.243
2016-12-15,0.146,5.845,0.0,5.809
2016-12-16,0.122,12.526,0.0,12.527
2016-12-17,0.131,10.732,0.0,10.711
2016-12-18,0.339,8.472,0.006,8.254
2016-12-19,0.703,5.183,0.01,4.651
2016-12-20,1.279,8.682,0.036,7.622
2016-12-21,4.279,8.584,0.074,4.891
2016-12-22,0.134,9.627,0.0,9.531
2016-12-23,0.371,9.936,0.006,9.681
2016-12-24,0.724,7.946,0.013,7.384
2016-12-25,0.069,10.359,0.0,10.363
2016-12-26,1.782,12.289,0.044,10.79
2016-12-27,1.474,11.371,0.049,10.155
2016-12-28,0.223,6.724,0.0,6.586
2016-12-29,6.36,6.642,0.769,2.441
2016-12-30,7.253,10.36,0.081,3.613
2016-12-31,0.073,15.395,0.0,15.338
2017-01-01,0.06,7.608,0.0,7.578
2017-02-01,2.576,12.039,0.018,9.837
2017-03-01,0.082,12.07,0.0,12.006
2017-04-01,3.546,6.683,0.082,3.833
2017-05-01,4.258,10.036,0.117,6.457
2017-06-01,7.946,10.332,0.147,3.642
2017-07-01,0.033,10.575,0.002,10.424
2017-08-01,0.158,9.206,0.0,9.166
2017-09-01,0.311,8.129,0.002,7.922
2017-10-01,0.319,7.717,0.001,7.505
2017-11-01,0.708,7.877,0.031,7.372
2017-12-01,1.261,6.117,0.069,5.108
2017-01-13,3.604,8.279,0.055,5.181
2017-01-14,1.664,12.823,0.025,11.332
2017-01-15,7.285,11.074,0.178,4.875
2017-01-16,7.951,8.465,1.745,3.177
2017-01-17,5.549,6.97,0.362,2.602
2017-01-18,1.476,7.394,0.067,6.079
2017-01-19,1.591,8.788,0.022,7.434
2017-01-20,0.081,11.998,0.0,11.925
2017-01-21,0.215,7.54,0.0,7.366
2017-01-22,1.376,7.339,0.046,6.287
2017-01-23,1.119,7.514,0.027,6.589
2017-01-24,0.077,10.046,0.0,9.996
2017-01-25,4.095,9.922,0.081,6.556
2017-01-26,6.707,8.981,0.924,4.048
2017-01-27,8.107,6.291,1.74,2.627
2017-01-28,8.441,9.873,2.361,3.174
2017-01-29,0.745,11.258,0.006,10.603
2017-01-30,0.038,6.274,0.0,6.269
2017-01-31,0.267,10.126,0.0,9.892
2017-01-02,0.607,8.559,0.001,8.086
2017-02-02,6.525,6.134,1.299,2.933
2017-03-02,0.907,7.932,0.03,6.327
2017-04-02,2.769,8.138,0.14,5.796
2017-05-02,0.22,16.452,0.0,16.319
2017-06-02,5.06,9.293,0.249,5.189
2017-07-02,1.113,7.514,0.023,6.667
2017-08-02,0.095,8.84,0.001,8.693
2017-09-02,5.028,8.779,0.104,4.533
2017-10-02,2.918,8.609,0.069,6.036
2017-11-02,1.227,10.776,0.023,9.815
2017-12-02,1.904,10.443,0.04,8.728
2017-02-13,10.353,11.11,0.466,3.194
2017-02-14,11.66,6.983,4.97,1.618
2017-02-15,10.64,11.684,1.153,3.751
2017-02-16,2.706,7.374,0.086,3.968
2017-02-17,0.587,5.956,0.014,5.46
2017-02-18,0.579,9.048,0.007,8.578
2017-02-19,0.147,7.506,0.0,7.486
2017-02-20,0.184,6.592,0.0,6.519
2017-02-21,7.947,6.782,2.194,3.203
2017-02-22,1.678,7.972,0.095,5.61
2017-02-23,0.562,6.822,0.015,6.461
2017-02-24,10.034,8.719,3.12,2.925
2017-02-25,1.478,11.029,0.005,9.67
2017-02-26,0.264,8.87,0.0,8.673
2017-02-27,1.058,6.15,0.035,5.268
2017-02-28,5.342,5.3,0.76,2.103
2017-01-03,4.582,6.638,0.297,2.455
2017-02-03,2.308,6.204,0.175,4.334
2017-03-03,8.801,6.469,2.032,1.863
2017-04-03,5.846,13.938,0.08,7.739
2017-05-03,3.346,13.38,0.108,10.484
2017-06-03,0.782,5.745,0.028,5.049
2017-07-03,1.491,8.645,0.043,7.382
2017-08-03,2.646,6.98,0.059,4.743
2017-09-03,2.068,7.935,0.051,6.143
2017-10-03,9.623,7.13,2.153,2.033
2017-11-03,13.111,10.227,3.854,1.776
2017-12-03,11.89,8.152,3.825,1.953
2017-03-13,6.16,7.489,0.419,2.149
2017-03-14,6.558,9.564,0.373,3.479
2017-03-15,13.122,4.649,6.635,1.47
2017-03-16,13.221,6.171,5.681,0.12
2017-03-17,4.951,4.814,0.412,0.391
2017-03-18,5.164,8.865,0.677,3.828
2017-03-19,0.755,11.27,0.005,10.57
2017-03-20,1.255,8.038,0.031,7.032
2017-03-21,9.334,8.307,1.126,1.941
2017-03-22,16.162,6.579,8.132,0.705
2017-03-23,2.927,7.67,0.063,3.662
2017-03-24,15.185,11.903,4.339,2.393
2017-03-25,11.533,9.594,3.432,2.73
2017-03-26,9.488,6.365,3.002,2.485
2017-03-27,16.069,6.883,7.382,0.142
2017-03-28,15.588,6.946,6.746,0.141
2017-03-29,1.849,4.766,0.09,1.038
2017-03-30,7.384,9.351,0.264,2.91
2017-03-31,12.546,7.044,5.23,2.271
2017-01-04,8.947,4.605,3.142,1.317
2017-02-04,11.708,2.774,7.823,0.078
2017-03-04,14.753,2.776,10.471,0.042
2017-04-04,13.786,2.718,9.413,0.044
2017-05-04,6.668,2.524,3.446,0.032
2017-06-04,8.319,2.884,4.172,0.114
2017-07-04,2.571,3.668,0.098,0.346
2017-08-04,6.194,7.758,0.113,1.275
2017-09-04,17.252,13.108,4.276,2.795
2017-10-04,4.13,4.933,0.237,0.646
2017-11-04,10.554,4.003,4.073,1.208
2017-12-04,1.269,5.163,0.091,1.698
2017-04-13,9.559,4.051,3.711,1.487
2017-04-14,4.86,6.73,0.193,1.191
2017-04-15,10.7,6.417,3.972,1.511
2017-04-16,10.026,11.327,1.271,2.61
2017-04-17,12.527,8.658,3.413,2.253
2017-04-18,8.033,7.367,1.347,0.708
2017-04-19,10.299,7.34,3.082,1.341
2017-04-20,12.405,9.737,2.655,1.762
2017-04-21,4.441,6.463,0.106,1.41
2017-04-22,10.989,7.231,3.479,2.164
2017-04-23,10.404,7.566,3.14,1.275
2017-04-24,4.342,7.31,0.142,2.447
2017-04-25,13.793,9.107,3.994,1.862
2017-04-26,9.905,6.553,1.625,0.847
2017-04-27,9.445,7.218,2.676,0.953
2017-04-28,6.538,6.532,0.714,0.667
2017-04-29,10.836,8.04,1.637,1.131
2017-04-30,17.025,3.507,11.424,0.125
2017-01-05,10.344,10.718,1.469,1.389
2017-02-05,6.061,9.645,0.115,3.254
2017-03-05,7.269,6.88,0.304,1.808
2017-04-05,4.844,7.671,0.105,2.37
2017-05-05,1.144,7.85,0.009,6.788
2017-06-05,6.849,6.426,0.697,2.374
2017-07-05,16.222,4.945,9.411,0.474
2017-08-05,11.263,6.364,4.613,0.496
2017-09-05,12.149,10.528,1.957,1.156
2017-10-05,4.657,5.892,0.166,0.772
2017-11-05,18.34,7.741,8.232,1.199
2017-12-05,5.962,7.847,0.17,0.815
2017-05-13,6.976,6.716,0.414,1.823
2017-05-14,14.959,7.151,6.783,0.86
2017-05-15,14.93,5.992,7.03,0.26
2017-05-16,3.802,6.379,0.132,1.366
2017-05-17,13.987,8.082,5.057,2.425
2017-05-18,10.871,6.588,4.229,0.802
2017-05-19,5.802,5.311,0.514,0.77
2017-05-20,14.778,6.242,6.229,0.49
2017-05-21,11.326,5.699,6.23,0.644
2017-05-22,12.181,4.74,5.754,0.121
2017-05-23,13.931,7.046,5.818,0.349
2017-05-24,7.754,5.531,2.253,0.693
2017-05-25,16.726,8.784,7.073,0.957
2017-05-26,17.439,5.082,10.142,0.201
2017-05-27,17.326,9.484,8.751,0.985
2017-05-28,16.758,8.944,6.665,1.023
2017-05-29,14.653,4.142,9.113,0.105
2017-05-30,11.037,7.319,3.101,0.428
2017-05-31,15.187,6.102,8.003,0.196
2017-01-06,18.456,8.431,8.659,0.456
2017-02-06,16.934,4.733,9.886,0.221
2017-03-06,10.251,7.923,4.587,1.231
2017-04-06,13.433,7.448,6.429,2.304
2017-05-06,16.867,6.342,9.345,0.741
2017-06-06,9.687,8.857,0.474,0.956
2017-07-06,3.223,5.872,0.151,1.329
2017-08-06,5.528,6.812,0.128,1.867
2017-09-06,6.168,5.564,0.116,1.328
2017-10-06,10.428,5.7,3.15,0.376
2017-11-06,11.941,6.919,4.968,0.855
2017-12-06,6.058,6.747,0.287,0.954
2017-06-13,8.226,4.741,1.7,0.387
2017-06-14,15.161,4.332,8.902,0.197
2017-06-15,10.04,7.421,3.601,0.751
2017-06-16,11.859,5.656,4.193,0.656
2017-06-17,11.979,7.279,4.78,0.88
2017-06-18,14.271,4.859,7.821,0.496
2017-06-19,15.471,9.287,6.174,0.803
2017-06-20,16.245,3.791,10.645,0.161
2017-06-21,15.791,4.297,10.092,0.382
2017-06-22,9.909,2.678,6.326,0.073
2017-06-23,8.123,3.978,3.655,0.379
2017-06-24,4.743,4.071,0.583,0.495
2017-06-25,5.705,4.268,1.119,0.512
2017-06-26,14.473,2.884,9.669,0.111
2017-06-27,12.887,2.808,8.627,0.087
2017-06-28,8.495,8.324,4.589,2.507
2017-06-29,9.382,7.213,0.98,1.353
2017-06-30,1.534,5.904,0.093,3.156
2017-01-07,3.598,8.106,0.094,4.879
2017-02-07,8.823,7.945,1.53,3.193
2017-03-07,12.214,7.818,4.91,0.837
2017-04-07,13.188,6.769,5.088,0.56
2017-05-07,9.856,7.91,1.435,0.501
2017-06-07,16.9,8.592,6.398,0.421
2017-07-07,13.646,7.314,5.296,0.225
2017-08-07,9.421,7.604,2.182,0.931
2017-09-07,17.134,5.673,9.089,0.281
2017-10-07,3.348,5.565,0.163,0.418
2017-11-07,8.492,6.922,1.3,1.868
2017-12-07,3.418,5.809,0.102,1.773
2017-07-13,12.776,7.768,3.717,1.632
2017-07-14,10.139,5.93,4.573,0.492
2017-07-15,9.663,6.309,1.9,0.418
2017-07-16,3.108,4.387,0.161,0.413
2017-07-17,13.109,6.42,5.079,1.271
2017-07-18,15.67,4.466,9.534,0.123
2017-07-19,13.203,5.267,6.773,0.179
2017-07-20,6.749,6.506,1.116,0.922
2017-07-21,14.223,4.392,7.645,0.193
2017-07-22,6.384,4.437,2.095,0.247
2017-07-23,9.833,6.662,2.115,0.516
2017-07-24,7.543,5.034,2.849,0.552
2017-07-25,3.546,4.21,0.108,0.311
2017-07-26,12.9,8.267,3.688,1.66
2017-07-27,7.113,4.565,1.728,0.371
2017-07-28,10.201,5.968,3.321,0.454
2017-07-29,6.3,6.843,0.44,0.871
2017-07-30,11.104,6.833,3.475,1.031
2017-07-31,10.847,6.01,4.483,0.709
2017-01-08,5.845,4.289,0.784,0.301
2017-02-08,9.246,5.265,2.542,0.399
2017-03-08,10.673,7.077,3.549,0.891
2017-04-08,9.001,4.644,3.711,0.441
2017-05-08,9.202,5.021,3.558,0.413
2017-06-08,12.638,6.054,5.75,0.466
2017-07-08,15.311,5.267,8.567,0.204
2017-08-08,5.648,5.694,0.998,0.589
2017-09-08,12.562,4.861,5.104,0.97
2017-10-08,9.408,3.266,5.183,0.129
2017-11-08,1.582,3.046,0.132,0.215
2017-12-08,2.666,12.129,0.037,9.113
2017-08-13,8.189,5.832,1.466,1.708
2017-08-14,15.744,5.379,8.626,0.256
2017-08-15,9.936,5.594,3.463,0.211
2017-08-16,12.709,5.53,6.457,0.337
2017-08-17,5.128,3.489,0.663,0.168
2017-08-18,3.684,6.469,0.137,1.424
2017-08-19,9.465,6.571,2.218,1.976
2017-08-20,7.759,7.822,1.258,1.462
2017-08-21,8.248,4.215,2.58,0.424
2017-08-22,12.766,5.514,5.822,0.125
2017-08-23,15.248,5.595,7.948,0.257
2017-08-24,10.61,4.848,5.118,0.502
2017-08-25,13.509,4.903,7.579,0.151
2017-08-26,7.251,6.785,0.807,0.878
2017-08-27,11.978,6.277,4.969,0.642
2017-08-28,11.993,5.697,5.085,0.311
